FantasyPlayerKey,PlayerID,Name,Team,Position,AverageDraftPosition,AverageDraftPositionPPR,ByeWeek,LastSeasonFantasyPoints,ProjectedFantasyPoints,AuctionValue,AuctionValuePPR,AverageDraftPositionIDP,AverageDraftPositionRookie,AverageDraftPositionDynasty,AverageDraftPosition2QB,is_drafted,draft_order,my_team
19801,19801,Josh Allen,BUF,QB,32.3,35.7,13.0,673.2,624.5,60,58,,,46.6,5.8,0,,False
18890,18890,Patrick Mahomes,KC,QB,30.6,30.6,10.0,708.7,618.6,65,65,,,31.3,9.3,0,,False
21831,21831,Jalen Hurts,PHI,QB,42.6,42.6,10.0,643.4,609.1,54,54,,,60.1,10.4,0,,False
19781,19781,Lamar Jackson,BAL,QB,68.1,61.3,13.0,401.8,566.5,41,41,,,84.2,31.8,0,,False
21693,21693,Joe Burrow,CIN,QB,64.7,73.2,7.0,596.9,551.9,39,39,,,69.6,18.6,0,,False
21681,21681,Justin Herbert,LAC,QB,83.4,76.6,5.0,475.3,531.4,26,26,,,83.6,24.2,0,,False
22492,22492,Justin Fields,CHI,QB,76.6,80.0,13.0,503.8,525.6,31,31,,,99.1,42.6,0,,False
22490,22490,Trevor Lawrence,JAX,QB,100.4,95.3,9.0,503.1,504.6,17,19,,,94.0,56.3,0,,False
18857,18857,Deshaun Watson,CLE,QB,136.2,134.5,5.0,145.7,498.7,17,17,,,126.8,125.9,0,,False
14252,14252,Kirk Cousins,MIN,QB,170.2,171.9,13.0,496.3,486.5,12,12,,,189.8,87.7,0,,False
14895,14895,Geno Smith,SEA,QB,185.5,190.6,5.0,517.2,478.5,12,12,,,240.7,167.6,0,,False
20841,20841,Daniel Jones,NYG,QB,180.4,177.0,13.0,491.9,477.9,10,10,,,,99.6,0,,False
18055,18055,Dak Prescott,DAL,QB,139.6,141.3,7.0,338.0,467.8,12,12,,,141.3,52.9,0,,False
21677,21677,Tua Tagovailoa,MIA,QB,156.6,151.5,10.0,393.0,455.8,10,14,,,163.6,75.2,0,,False
